"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISOB",43,"554782","Praha"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"503410","Žitovlice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"505781","Zápy"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"512991","Drnek"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513032","Kamenný Most"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513041","Lhota"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513075","Hobšovice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513113","Malé Přítočno"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513130","Dolany"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513148","Polní Voděrady"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513164","Ždánice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513181","Dománovice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513202","Zalešany"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513237","Polní Chrčice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513261","Žabonosy"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513270","Lipec"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513288","Mrzky"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513369","Přehvozdí"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513393","Přistoupim"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513415","Kbel"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513423","Pašinka"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513431","Chýnice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513458","Vestec"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513482","Vysoký Újezd"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513504","Dlouhá Lhota"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513512","Zduchovice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513521","Lešetice"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","CISOB",43,"513539","Velká Lečice"
