"idhod","hodnota","ukaz_kod","vzdelani_cis","vzdelani_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vzdelani_txt","uzemi_txt"
"944997548","1577","3162",,,"43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Želechovice nad Dřevnicí"
"945010849","9","3162","1294","001","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Želechovice nad Dřevnicí"
"944984326","59","3162","1294","900","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Želechovice nad Dřevnicí"
"944984325","489","3162","5181","35450001","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Želechovice nad Dřevnicí"
"944984323","540","3162","5784","105","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Želechovice nad Dřevnicí"
"944984324","259","3162","5784","109","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Želechovice nad Dřevnicí"
"944997454","197","3162","5784","117","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Želechovice nad Dřevnicí"
"944997455","24","3162","5784","130","43","500011","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Želechovice nad Dřevnicí"
"945010928","1016","3162",,,"43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Petrov nad Desnou"
"944997595","9","3162","1294","001","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Petrov nad Desnou"
"945024405","34","3162","1294","900","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Petrov nad Desnou"
"945017673","289","3162","5181","35450001","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Petrov nad Desnou"
"944984327","408","3162","5784","105","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Petrov nad Desnou"
"945004203","87","3162","5784","109","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Petrov nad Desnou"
"945010953","173","3162","5784","117","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Petrov nad Desnou"
"945024404","16","3162","5784","130","43","500020","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Petrov nad Desnou"
"945004298","1392","3162",,,"43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Libhošť"
"945024406","5","3162","1294","001","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Libhošť"
"945031014","45","3162","1294","900","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Libhošť"
"945004345","429","3162","5181","35450001","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Libhošť"
"944984591","545","3162","5784","105","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Libhošť"
"945017674","200","3162","5784","109","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Libhošť"
"944984592","147","3162","5784","117","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Libhošť"
"944984593","21","3162","5784","130","43","500046","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Libhošť"
"944997549","1679","3162",,,"43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Krhová"
"945011095","4","3162","1294","001","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Krhová"
"944997734","60","3162","1294","900","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Krhová"
"945004346","566","3162","5181","35450001","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Krhová"
"945017675","550","3162","5784","105","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Krhová"
"944984594","277","3162","5784","109","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Krhová"
"944984595","208","3162","5784","117","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Krhová"
"944997733","14","3162","5784","130","43","500062","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Krhová"
"944984484","1453","3162",,,"43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Poličná"
"945004467","6","3162","1294","001","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Poličná"
"945017818","42","3162","1294","900","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Poličná"
"945031135","530","3162","5181","35450001","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Poličná"
"945017816","495","3162","5784","105","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Poličná"
"944984847","207","3162","5784","109","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Poličná"
"945017817","160","3162","5784","117","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Poličná"
"944997735","13","3162","5784","130","43","500071","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Poličná"
"945018787","171","3162",,,"43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Bražec"
"945017941","4","3162","1294","001","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Bražec"
"945031275","13","3162","1294","900","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Bražec"
"944984848","27","3162","5181","35450001","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Bražec"
"945011096","65","3162","5784","105","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Bražec"
"945024536","5","3162","5784","109","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Bražec"
"945017819","56","3162","5784","117","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Bražec"
"945031136","1","3162","5784","130","43","500101","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Bražec"
"944986836","118","3162",,,"43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Doupovské Hradiště"
"945004594","2","3162","1294","001","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Doupovské Hradiště"
"944985104","11","3162","1294","900","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Doupovské Hradiště"
"945011229","26","3162","5181","35450001","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Doupovské Hradiště"
"944985101","50","3162","5784","105","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Doupovské Hradiště"
"944985102","10","3162","5784","109","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Doupovské Hradiště"
"944997871","18","3162","5784","117","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Doupovské Hradiště"
"944985103","1","3162","5784","130","43","500127","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Doupovské Hradiště"
"944986837","197","3162",,,"43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Kozlov"
"944998022","2","3162","1294","001","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Kozlov"
"945017942","8","3162","1294","900","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Kozlov"
"945031276","40","3162","5181","35450001","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Kozlov"
"945011230","91","3162","5784","105","43","500135","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Kozlov"
